Experiment: 220617_melting_cgre_1Cmin_pbs  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	2880	83.87		
True	255	A2	3224	79.57		
True	255	A3	83	78.61		
True	16744448	A4	121			
True	255	A5	900	84.10		
True	255	A6	911	78.43		
True	255	A7	13	83.08		
True	3200768	A8	567	70.28	78.81	
True	255	A9	575	79.66		
True	255	A10	1414	82.80		
True	16744448	A11	985			
True	255	A12	626	80.40		
True	255	B1	2880	83.93		
True	255	B2	3224	79.51		
True	255	B3	83	78.50		
True	16744448	B4	121			
True	255	B5	900	84.16		
True	255	B6	911	78.50		
True	255	B7	13	82.93		
True	3200768	B8	567	69.77	78.74	
True	255	B9	575	79.59		
True	255	B10	1414	72.83		
True	255	B11	985	94.80		
True	255	B12	626	80.31		
True	255	C1	2880	83.58		
True	255	C2	3224	79.53		
True	255	C3	83	78.54		
True	16744448	C4	121			
True	255	C5	900	84.17		
True	255	C6	911	78.29		
True	255	C7	13	82.93		
True	3200768	C8	567	70.45	78.73	
True	255	C9	575	79.59		
True	255	C10	1414	81.76		
True	16744448	C11	985			
True	255	C12	626	80.30		
True	255	D1	2880	83.94		
True	255	D2	3224	79.55		
True	255	D3	83	78.63		
True	16744448	D4	121			
True	255	D5	900	84.08		
True	255	D6	911	78.16		
True	255	D7	13	82.93		
True	3200768	D8	567	69.16	78.62	
True	255	D9	575	79.61		
True	255	D10	1414	72.14		
True	16744448	D11	985			
True	255	D12	626	80.37		
True	255	E1	2880	83.93		
True	255	E2	3224	79.65		
True	255	E3	83	78.68		
True	16744448	E4	121			
True	16744448	E5	900			
True	255	E6	911	78.41		
True	255	E7	13	82.97		
True	3200768	E8	567	69.39	78.69	
True	255	E9	575	79.67		
True	255	E10	1414	81.60		
True	16744448	E11	985			
True	255	E12	626	80.36		
True	255	F1	1338	76.36		
True	255	F2	1338	76.31		
True	255	F3	1338	76.29		
True	255	F4	1338	76.29		
True	255	F5	1338	76.28		
True	255	F6	9708	84.08		
True	255	F7	9708	84.09		
True	255	F8	9708	84.12		
True	255	F9	9708	84.10		
True	255	F10	9708	84.15		
True	16744448	F11	Sample 71			
True	16744448	F12	Sample 72			
True	255	G1	4111	81.92		
True	255	G2	4111	81.88		
True	255	G3	4111	81.88		
True	255	G4	4111	81.80		
True	255	G5	4111	81.90		
True	255	G6	wt	77.50		
True	255	G7	wt	77.51		
True	255	G8	wt	77.55		
True	255	G9	wt	77.50		
True	255	G10	wt	77.46		
True	16744448	G11	Sample 83			
True	16744448	G12	Sample 84			
True	255	H1	132	83.19		
True	255	H2	132	83.15		
True	255	H3	132	83.15		
True	255	H4	132	83.19		
True	255	H5	132	83.18		
True	16744448	H6	blank			
True	16744448	H7	blank			
True	16744448	H8	blank			
True	16744448	H9	blank			
True	16744448	H10	blank			
True	16744448	H11	Sample 95			
True	16744448	H12	Sample 96			
