Experiment: 220627_melting_cgre_50acq-deg_pbs  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	2880	83.47		
True	255	A2	3224	79.03		
True	255	A3	83	78.41		
True	16744448	A4	121			
True	255	A5	900	83.86		
True	3200768	A6	911	68.02	77.97	
True	3200768	A7	13	73.66	82.16	
True	3200768	A8	567	68.37	78.20	
True	255	A9	575	80.07		
True	255	A10	1414	81.78		
True	16744448	A11	985			
True	255	A12	626	80.58		
True	255	B1	2880	83.49		
True	255	B2	3224	79.02		
True	255	B3	83	78.32		
True	16744448	B4	121			
True	255	B5	900	84.10		
True	3200768	B6	911	67.98	77.91	
True	3200768	B7	13	73.79	82.21	
True	3200768	B8	567	68.28	78.15	
True	255	B9	575	80.09		
True	255	B10	1414	81.46		
True	16744448	B11	985			
True	255	B12	626	80.72		
True	255	C1	2880	83.53		
True	255	C2	3224	79.10		
True	255	C3	83	78.28		
True	16744448	C4	121			
True	255	C5	900	83.93		
True	3200768	C6	911	67.58	77.87	
True	3200768	C7	13	73.68	82.16	
True	3200768	C8	567	68.54	78.22	
True	255	C9	575	80.10		
True	255	C10	1414	81.28		
True	16744448	C11	985			
True	255	C12	626	80.76		
True	255	D1	2880	83.55		
True	255	D2	3224	79.11		
True	255	D3	83	78.53		
True	16744448	D4	121			
True	255	D5	900	84.31		
True	3200768	D6	911	67.70	77.99	
True	3200768	D7	13	73.92	82.19	
True	3200768	D8	567	67.92	78.16	
True	255	D9	575	80.11		
True	255	D10	1414	80.97		
True	255	D11	985	93.77		
True	255	D12	626	80.71		
True	255	E1	2880	83.53		
True	255	E2	3224	79.05		
True	255	E3	83	78.45		
True	16744448	E4	121			
True	255	E5	900	83.55		
True	3200768	E6	911	67.77	77.95	
True	3200768	E7	13	73.88	82.22	
True	3200768	E8	567	67.51	78.12	
True	255	E9	575	79.98		
True	255	E10	1414	80.62		
True	255	E11	985	84.10		
True	255	E12	626	80.61		
True	255	F1	1338	75.43		
True	255	F2	1338	75.43		
True	255	F3	1338	75.46		
True	255	F4	1338	75.48		
True	255	F5	1338	75.43		
True	255	F6	9708	84.06		
True	255	F7	9708	84.07		
True	255	F8	9708	84.13		
True	255	F9	9708	84.16		
True	255	F10	9708	84.16		
True	16744448	F11	Sample 71			
True	16744448	F12	Sample 72			
True	255	G1	4111	81.38		
True	255	G2	4111	81.43		
True	255	G3	4111	81.40		
True	255	G4	4111	81.39		
True	255	G5	4111	81.37		
True	255	G6	wt	77.05		
True	255	G7	wt	77.12		
True	255	G8	wt	77.05		
True	255	G9	wt	77.09		
True	255	G10	wt	77.01		
True	16744448	G11	Sample 83			
True	16744448	G12	Sample 84			
True	255	H1	132	83.11		
True	255	H2	132	83.12		
True	255	H3	132	83.14		
True	255	H4	132	83.13		
True	255	H5	132	83.05		
True	16744448	H6	blank			
True	16744448	H7	blank			
True	16744448	H8	blank			
True	16744448	H9	blank			
True	16744448	H10	blank			
True	16744448	H11	Sample 95			
True	16744448	H12	Sample 96			
