Experiment: 220628_melting_cgre_50acq-deg_urea3M  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	2880	78.44		
True	255	A2	3224	72.91		
True	255	A3	83	71.25		
True	255	A4	121	84.95		
True	255	A5	900	75.74		
True	255	A6	911	69.70		
True	255	A7	13	76.62		
True	3200768	A8	567	55.06	68.85	
True	255	A9	575	74.76		
True	255	A10	1414	74.13		
True	255	A11	985	88.66		
True	255	A12	626	59.88		
True	255	B1	2880	78.46		
True	255	B2	3224	72.93		
True	255	B3	83	71.37		
True	255	B4	121	84.95		
True	255	B5	900	76.07		
True	255	B6	911	69.70		
True	255	B7	13	76.65		
True	255	B8	567	68.86		
True	255	B9	575	74.68		
True	255	B10	1414	74.29		
True	255	B11	985	88.55		
True	255	B12	626	59.84		
True	255	C1	2880	78.52		
True	255	C2	3224	72.96		
True	255	C3	83	71.45		
True	255	C4	121	84.94		
True	255	C5	900	75.33		
True	255	C6	911	69.69		
True	255	C7	13	76.80		
True	255	C8	567	68.91		
True	255	C9	575	74.36		
True	255	C10	1414	73.34		
True	255	C11	985	88.46		
True	255	C12	626	70.02		
True	255	D1	2880	78.25		
True	255	D2	3224	72.99		
True	255	D3	83	71.36		
True	255	D4	121	85.27		
True	255	D5	900	75.84		
True	255	D6	911	69.82		
True	255	D7	13	76.77		
True	255	D8	567	68.60		
True	255	D9	575	74.73		
True	255	D10	1414	73.38		
True	255	D11	985	88.38		
True	255	D12	626	59.85		
True	255	E1	2880	78.50		
True	255	E2	3224	73.03		
True	255	E3	83	71.49		
True	255	E4	121	85.25		
True	255	E5	900	74.93		
True	3200768	E6	911	60.18	70.04	
True	255	E7	13	76.73		
True	3200768	E8	567	58.54	69.23	
True	255	E9	575	74.77		
True	255	E10	1414	73.85		
True	255	E11	985	88.66		
True	255	E12	626	69.97		
True	255	F1	1338	69.87		
True	255	F2	1338	69.87		
True	255	F3	1338	69.92		
True	255	F4	1338	69.84		
True	255	F5	1338	69.86		
True	255	F6	9708	78.63		
True	255	F7	9708	78.63		
True	255	F8	9708	78.34		
True	255	F9	9708	78.35		
True	255	F10	9708	78.62		
True	16744448	F11	Sample 71			
True	16744448	F12	Sample 72			
True	255	G1	4111	76.28		
True	255	G2	4111	76.30		
True	255	G3	4111	76.33		
True	255	G4	4111	76.35		
True	255	G5	4111	76.40		
True	255	G6	wt	71.58		
True	255	G7	wt	71.65		
True	255	G8	wt	71.65		
True	255	G9	wt	71.70		
True	255	G10	wt	71.64		
True	16744448	G11	Sample 83			
True	16744448	G12	Sample 84			
True	255	H1	132	77.45		
True	255	H2	132	77.45		
True	255	H3	132	77.48		
True	255	H4	132	77.48		
True	255	H5	132	77.06		
True	16744448	H6	blank			
True	16744448	H7	blank			
True	16744448	H8	blank			
True	16744448	H9	blank			
True	16744448	H10	blank			
True	16744448	H11	Sample 95			
True	16744448	H12	Sample 96			
