Experiment: 220630_melting_cgre_50acq-deg_urea5M  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	2880	75.36		
True	255	A2	3224	69.78		
True	255	A3	83	66.36		
True	255	A4	121	82.40		
True	255	A5	900	70.31		
True	3200768	A6	911	55.58	64.87	
True	255	A7	13	73.61		
True	3200768	A8	567	53.52	63.31	
True	255	A9	575	71.30		
True	255	A10	1414	57.40		
True	255	A11	985	84.84		
True	255	A12	626	58.63		
True	255	B1	2880	74.97		
True	255	B2	3224	69.78		
True	255	B3	83	66.35		
True	255	B4	121	82.27		
True	255	B5	900	70.39		
True	3200768	B6	911	55.47	64.88	
True	255	B7	13	73.56		
True	3200768	B8	567	53.42	63.27	
True	255	B9	575	71.31		
True	255	B10	1414	69.47		
True	255	B11	985	84.79		
True	255	B12	626	58.94		
True	255	C1	2880	75.43		
True	255	C2	3224	69.81		
True	255	C3	83	66.80		
True	255	C4	121	82.32		
True	255	C5	900	70.38		
True	3200768	C6	911	55.86	64.97	
True	255	C7	13	73.47		
True	3200768	C8	567	54.06	63.39	
True	255	C9	575	70.93		
True	255	C10	1414	58.76		
True	255	C11	985	84.80		
True	255	C12	626	58.66		
True	255	D1	2880	75.52		
True	255	D2	3224	69.85		
True	255	D3	83	66.86		
True	255	D4	121	81.83		
True	255	D5	900	70.45		
True	3200768	D6	911	55.79	64.94	
True	255	D7	13	73.55		
True	255	D8	567	63.02		
True	255	D9	575	70.93		
True	255	D10	1414	58.16		
True	255	D11	985	84.78		
True	255	D12	626	58.63		
True	255	E1	2880	75.43		
True	255	E2	3224	69.87		
True	255	E3	83	66.37		
True	255	E4	121	82.38		
True	255	E5	900	70.34		
True	3200768	E6	911	55.91	65.03	
True	255	E7	13	73.56		
True	3200768	E8	567	53.91	63.43	
True	255	E9	575	70.74		
True	255	E10	1414	58.08		
True	255	E11	985	84.47		
True	255	E12	626	58.59		
True	255	F1	1338	66.43		
True	255	F2	1338	66.42		
True	255	F3	1338	66.43		
True	255	F4	1338	66.44		
True	255	F5	1338	66.42		
True	255	F6	9708	74.67		
True	255	F7	9708	75.17		
True	255	F8	9708	74.76		
True	255	F9	9708	75.24		
True	255	F10	9708	74.73		
True	16744448	F11	Sample 71			
True	16744448	F12	Sample 72			
True	255	G1	4111	73.40		
True	255	G2	4111	73.46		
True	255	G3	4111	73.48		
True	255	G4	4111	73.42		
True	255	G5	4111	73.47		
True	255	G6	wt	68.18		
True	255	G7	wt	68.21		
True	255	G8	wt	68.24		
True	255	G9	wt	68.25		
True	255	G10	wt	68.22		
True	16744448	G11	Sample 83			
True	16744448	G12	Sample 84			
True	255	H1	132	73.33		
True	255	H2	132	73.33		
True	255	H3	132	73.31		
True	255	H4	132	73.31		
True	255	H5	132	73.69		
True	16744448	H6	blank			
True	16744448	H7	blank			
True	16744448	H8	blank			
True	16744448	H9	blank			
True	16744448	H10	blank			
True	16744448	H11	Sample 95			
True	16744448	H12	Sample 96			
